R¨¦gion,Code Insee,Commune,Latitude,Longitude,nb_etab2008,nb_etab2009,nb_etab2010,nb_etab2011,nb_etab2012,eff2008,eff2009,eff2010,eff2011,eff2012,v ¨¦tab 2008-2009,v ¨¦tab 2008-2010,v ¨¦tab 2008-2011,v ¨¦tab 2008-2012,v eff 2008-2009,v eff 2008-2010,v eff 2008-2011,v eff 2008-2012
BRETAGNE,35327, SERVON-SUR-VILAINE,48.116667,-1.45,2,2,1,1,1,3,2,1,3,2,0,-1,-1,-1,-1,-2,0,-1
BRETAGNE,35330, TAILLIS,48.183333,-1.233333,1,1,1,1,1,18,18,18,17,10,0,0,0,0,0,0,-1,-8
BRETAGNE,35334, THORIGNE-FOUILLARD,47.916667,-1.433333,1,1,1,1,1,27,29,32,40,43,0,0,0,0,2,5,13,16
BRETAGNE,35337, TINTENIAC,48.316667,-1.85,0,1,1,1,1,0,3,9,2,3,1,1,1,1,3,9,2,3
BRETAGNE,35340, TREFFENDEL,48.033333,-2,2,2,2,2,2,9,7,3,6,4,0,0,0,0,-2,-6,-3,-5
BRETAGNE,35341, TREMBLAY,48.416667,-1.466667,1,1,1,1,1,2,4,4,8,8,0,0,0,0,2,2,6,6
BRETAGNE,35352, VERN-SUR-SEICHE,48.05,-1.6,20,18,17,15,14,561,542,431,430,428,-2,-3,-5,-6,-19,-130,-131,-133
BRETAGNE,35353, VEZIN-LE-COQUET,48.116667,-1.75,1,1,0,0,0,1,1,0,0,0,0,-1,-1,-1,0,-1,-1,-1
BRETAGNE,35360, VITRE,48.133333,-1.2,7,8,9,9,8,418,423,431,499,503,1,2,2,1,5,13,81,85
BRETAGNE,35363, PONT-PEAN,48.483333,-1.833333,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,
,,,,Total,523,533,546,560,576,18272,17650,17670,18243,18767,,,,,,,,
